"Points:0","Points:1","Points:2"
188.769,118.2,64.3069
187.983,117.353,65.1532
189.195,117.846,64.9587
179.705,119.145,64.6197
181.093,118.871,64.3041
189.904,118.257,64.8746
191.055,118.866,64.7158
179.911,119.907,64.104
192.148,119.454,64.8578
192.43,119.489,65.6622
193.819,120.282,64.8659
195.806,121.05,64.4091
194.81,120.624,64.8167
178.525,121.158,64.0171
196.762,121.319,65.2213
198.051,122.001,64.4823
197.822,121.701,65.0586
176.735,121.654,64.4682
199.022,122.222,65.0051
200.401,123.409,64.5515
200.017,122.727,65.0287
199.896,124.428,63.8708
201.299,124.139,64.6223
201.803,123.419,65.2155
171.875,125.205,64.6505
174.12,123.641,64.4646
172.912,123.514,64.9641
174.699,124.218,63.9937
200.826,125.304,64.2028
202.423,124.873,64.8332
172.07,125.994,64.1177
200.103,126.189,63.9757
201.445,126.074,64.3945
171.045,126.498,64.4286
199.243,127.407,63.9922
201.18,126.965,64.4089
170.174,127.315,64.5004
169.656,127.097,65.2009
198.252,128.346,64.0008
200.511,128.038,64.5023
168.901,128.746,64.4928
168.377,128.745,65.3465
197.145,129.312,64.0444
168.094,129.697,64.5464
196.744,130.298,64.4396
197.759,130.167,64.6591
167.571,130.177,64.9789
195.389,130.92,64.4
196.417,131.423,65.1494
166.511,131.7,65.0194
194.096,131.669,64.619
166.078,132.505,65.2816
165.65,133.097,64.8172
190.483,133.056,64.6912
192.81,132.48,65.1013
165.154,133.88,64.7388
177.776,134.195,64.9731
178.809,133.723,65.5308
182.471,133.799,64.6293
184.917,133.563,65.2144
185.937,133.595,65.0163
187.225,133.536,64.9655
189.341,133.367,65.0397
164.146,135.481,64.1795
164.747,134.747,64.5535
176.211,134.664,65.0894
163.166,136.306,63.7516
164.986,136.2,64.5372
165.593,136.01,65.0145
172.845,136.392,63.5282
173.246,136.137,65.306
165.55,136.846,64.3631
167.232,136.656,65.3304
170.525,136.915,64.9236
172.107,136.586,64.9394
166.121,137.258,64.1103
169.109,137.202,64.969
181.902,116.857,65.6636
183.463,116.097,66.2122
185.914,116.358,66.0074
187.031,116.535,66.1038
187.902,117.012,65.5785
188.228,116.847,66.1192
179.004,117.708,65.8598
179.99,118.252,65.1215
189.739,117.859,65.4202
188.842,117.277,65.9244
190.197,118.017,66.215
178.675,118.778,65.2716
190.724,118.451,65.605
176.135,119.527,65.6865
177.61,119.654,65.1673
174.657,120.928,65.4036
176.439,120.699,65.0178
193.626,120.163,65.9652
194.714,120.574,65.7212
195.83,120.916,65.5177
172.992,121.589,65.5808
196.125,121.154,66.1357
197.617,121.573,66.0005
198.807,121.883,65.5815
172.356,122.69,65.4445
171.545,123.092,65.7317
174.459,122.174,64.9478
199.818,122.239,66.1194
201.01,122.584,65.9759
202.017,122.731,66.1621
202.224,122.981,65.8402
171.608,124.328,65.2441
203.433,124.327,65.4283
203.873,123.555,66.0857
205.063,124.326,65.999
203.185,125.535,65.0199
170.623,125.936,65.1196
202.938,126.502,64.9115
204.327,126.072,65.3451
204.905,125.25,65.6415
202.796,127.438,64.9722
204.156,126.984,65.2981
169.046,127.567,65.5276
168.569,127.846,66.0566
202.148,128.332,65.0118
203.969,127.892,65.3595
168.036,128.961,66.0049
199.782,129.31,64.815
201.568,129.019,65.1093
204.712,129.045,65.8754
167.361,130.282,65.9704
199.916,130.226,65.3178
202.624,129.69,65.6243
166.73,131.423,65.8907
198.397,130.919,65.3537
200.938,130.652,65.8129
166.455,132.155,65.9235
194.393,132.075,65.2523
196.273,131.915,65.6394
197.975,131.476,65.7075
166.094,132.913,65.776
179.838,133.458,65.8131
181.927,133.41,65.7311
182.652,133.184,66.437
183.798,133.613,65.0306
184.144,133.195,66.4369
191.892,133.072,65.6042
193.102,132.83,66.0385
194.238,132.517,66.0303
196.004,132.341,66.2661
165.42,134.432,65.2163
165.821,133.747,65.5847
177.476,133.87,66.0402
187.189,133.481,65.7922
188.852,133.436,66.0229
189.946,133.415,65.9585
191.362,133.285,66.051
165.178,135.379,64.9578
166.127,135.241,65.5819
166.89,136.125,65.563
167.618,135.716,66.2042
173.863,135.655,66.2221
170.593,136.654,66.0353
171.862,136.564,65.7022
167.91,137.057,65.0832
169.519,137.044,65.5147
182.659,116.568,65.7669
184.764,116.059,66.2071
183.808,115.387,67.3193
185.367,115.721,66.9189
186.232,115.857,67.0115
178.061,116.855,66.9333
180.51,117.109,65.889
180.526,116.039,66.9654
186.864,116.224,66.8446
188.807,116.981,66.6612
176.592,117.801,66.5579
177.357,118.084,66.1743
189.434,117.53,66.7765
190.295,118.19,66.9038
174.589,118.745,66.3986
190.89,118.548,66.4569
171.401,119.627,66.7013
170.688,119.936,66.9644
172.454,119.801,66.3112
174.339,119.763,65.974
192.002,119.359,66.5744
171.907,120.956,66.1539
172.968,120.523,65.9629
193.047,120.186,66.9556
194.369,120.651,66.6238
171.214,121.653,66.3032
170.487,122.095,66.6921
195.38,121.274,67.0697
197.089,121.589,66.718
198.788,121.921,66.4548
170.633,123.084,66.3497
198.126,122.068,67.3584
199.354,122.193,67.0667
200.953,122.401,67.0073
201.961,122.528,66.9953
202.991,122.694,66.9367
204.004,122.797,67.1048
204.228,123.039,66.7633
170.521,124.091,66.1389
205.616,124.253,66.3038
205.717,123.522,66.8891
206.704,124.377,66.6082
207.667,124.006,67.1984
170.234,125.002,65.999
206.209,125.237,66.1231
207.892,125.198,66.589
208.328,124.644,66.9784
169.711,125.925,66.0104
169.393,125.092,66.8497
206.105,126.441,65.9036
207.722,126.104,66.3421
208.973,125.745,66.7919
169.038,126.564,66.4143
168.586,126.901,66.9456
205.962,127.443,65.8927
207.543,127.069,66.2413
168.23,127.835,67.0833
205.956,128.319,66.0281
207.904,127.734,66.3849
208.949,127.132,66.6637
167.926,128.885,67.043
207.278,128.867,66.4838
