"Points:0","Points:1","Points:2"
65.0979,47.9582,-66.8696
62.77,51.7263,-60.2902
62.5894,52.4698,-59.6567
61.5051,54.7529,-56.7399
60.9485,53.2665,-56.1419
58.7944,60.0861,-51.2243
61.8695,59.9918,-59.0118
60.7949,58.5408,-55.3942
54.6801,67.0534,-49.725
27.4112,70.5938,-27.5642
31.4625,70.322,-29.3145
34.4362,72.6557,-32.0919
36.6197,90.5715,-38.8151
43.9179,66.3713,-36.1067
44.6794,64.8995,-36.3626
43.532,65.5708,-35.6778
51.591,57.9573,-42.9147
52.9484,67.0252,-47.1088
66.5594,77.8377,-69.7253
62.0697,83.183,-64.4113
70.5955,94.9664,-81.7399
54.9412,85.7434,-55.9056
57.8358,100.516,-65.4108
54.3212,102.867,-61.6524
0.271971,19.4272,-5.35983
1.31582,22.694,-7.12555
1.53911,23.5394,-7.60108
2.61071,21.0333,-6.35022
1.32312,19.3063,-5.21753
3.05513,22.6846,-7.43481
3.67502,21.9859,-7.27398
5.22439,22.4059,-8.74366
4.20377,21.2498,-7.12308
4.13165,25.6117,-9.62244
2.04026,55.7892,-23.4951
0.499647,58.6535,-23.0073
3.25535,56.3753,-23.8103
3.79775,57.2302,-23.8767
0.824159,59.4045,-23.0297
9.84393,32.8962,-27.481
11.6664,29.1155,-28.62
10.182,32.8914,-29.0449
11.3728,31.3505,-30.3627
11.8023,30.0364,-30.0271
5.9023,33.7747,-16.1599
6.26674,32.9836,-16.1069
5.05355,36.1131,-17.0532
4.27356,33.0953,-14.1846
2.91843,36.0002,-15.5818
3.04999,33.7503,-13.9879
3.06155,36.6982,-16.1772
6.17589,35.292,-17.5997
5.41604,32.3334,-14.6755
4.03809,32.3196,-13.5071
7.55277,31.5095,-17.2909
8.15242,31.5863,-18.592
7.03646,34.3485,-18.1836
7.38782,30.7717,-16.5569
6.87643,30.924,-15.7595
13.125,38.7158,-37.5676
11.0596,41.2009,-35.7408
16.4383,43.3055,-41.8442
17.3832,43.2584,-41.9512
15.9349,41.0286,-41.6825
15.5342,41.8405,-41.6617
17.25,40.311,-41.9303
18.9014,41.7644,-42.1102
18.8949,42.5543,-41.9298
17.7849,44.0563,-41.6697
16.1053,44.0646,-41.5828
15.5827,43.3296,-41.6353
15.33,42.5864,-41.5662
19.4267,40.9789,-42.1341
19.9159,42.404,-41.702
11.4162,47.2307,-34.9742
10.4226,43.4583,-35.1114
11.4936,44.1822,-36.5555
11.911,47.2586,-35.6734
9.38711,43.4817,-33.037
12.236,45.7531,-37.1021
0.795591,49.6428,-23.5576
0.237056,48.9079,-23.3107
4.07494,49.702,-24.8354
3.36482,45.895,-22.9834
2.47052,49.6559,-24.0349
3.27266,49.5837,-24.3785
5.96017,47.4103,-26.0575
3.84223,45.1103,-22.7925
9.92046,53.3636,-27.7664
7.64915,53.2258,-26.6531
7.20223,50.2598,-27.3884
7.45591,54.1301,-26.1254
5.01882,54.0769,-24.9468
6.38948,56.068,-24.9452
6.83966,55.4959,-25.2938
4.2588,54.0677,-24.5731
6.93075,56.8123,-24.8373
3.77551,53.3811,-24.4736
1.02016,60.8894,-23.0216
2.93088,65.3368,-23.2765
16.6604,44.7983,-41.4001
17.0597,46.2747,-40.5578
18.0117,47.2352,-39.8264
16.4273,45.7136,-40.83
15.9465,44.9581,-41.1191
19.6506,46.7977,-39.88
16.9142,47.1071,-39.886
10.8611,51.7521,-29.7646
9.4787,48.7039,-30.7285
11.2649,48.5904,-33.3321
12.6604,54.6751,-27.8367
10.9623,55.3706,-26.6087
20.0455,57.0631,-28.095
18.1723,57.7838,-26.9061
7.4747,57.5364,-24.698
5.53538,58.5509,-24.0473
13.708,65.017,-24.0308
10.0775,66.6419,-23.7587
9.95582,62.1036,-23.771
13.9303,61.2601,-24.3789
11.612,60.6064,-24.2271
13.3893,60.5258,-24.4867
15.0113,64.2294,-24.1888
22.3673,65.5299,-25.1057
20.5418,64.0611,-24.7904
23.5089,64.7771,-25.2691
22.9132,62.4937,-25.384
23.9073,64.0355,-25.3623
20.3014,62.5779,-24.921
13.1488,70.2772,-24.5926
13.399,73.9544,-25.5017
13.3288,79.2234,-26.9688
14.0987,82.0749,-27.7902
19.7833,70.7885,-25.596
22.2489,72.2409,-26.5781
26.6419,73.059,-28.1534
0.355742,91.5659,-27.5007
4.30275,92.3931,-27.854
4.87747,101.305,-29.3841
7.05116,105.74,-31.1889
4.61541,104.307,-30.2001
9.5224,103.287,-30.9686
6.59916,101.286,-29.7076
12.0348,98.029,-30.1563
13.7028,99.3337,-30.9365
10.6838,107.761,-32.917
10.1884,108.526,-33.0298
13.3606,84.6086,-28.1882
21.6434,82.0425,-29.6853
16.2626,97.8701,-31.3041
21.8914,94.0082,-32.1484
26.9969,82.594,-31.6502
29.3084,90.6888,-34.2763
23.804,97.7895,-33.7428
24.8479,98.3813,-34.3011
26.8843,99.1761,-35.3767
32.5334,95.9268,-37.1507
29.8877,93.9264,-35.2029
30.1134,97.5048,-36.2913
22.5159,108.182,-37.1576
21.6367,108.066,-36.7691
22.8693,108.913,-37.5423
21.2291,108.939,-36.8934
28.3481,102.812,-37.4599
30.5262,100.458,-37.6125
33.3016,103.208,-40.5482
55.6584,-52.0603,-101.583
65.1204,-38.4944,-112.296
65.9419,-37.7676,-109.216
65.182,-39.5908,-107.842
67.3799,-34.3709,-108.272
68.6856,-30.4586,-107.768
68.0686,-32.0329,-104.151
79.2979,-9.02198,-143.801
80.5211,-9.07281,-145.25
78.7533,-9.15814,-143.215
78.4356,-12.1973,-144.126
78.257,-9.72559,-142.719
78.0097,-11.2586,-142.872
69.3032,-11.9191,-135.855
70.8992,-9.74554,-135.506
66.9662,-11.3021,-135.588
69.6691,-12.4789,-136.191
71.0096,-11.9773,-136.253
71.6833,-11.1966,-136.229
71.4401,-8.8305,-135.604
70.2491,-8.05751,-135.032
71.1109,-8.09142,-135.362
68.0041,-8.76324,-134.894
67.445,-9.48713,-134.965
66.8986,-10.2209,-135.187
70.9839,-18.6391,-111.219
70.293,-20.8504,-114.254
71.2199,-7.50919,-121.284
71.5201,-4.3505,-135.734
70.3887,-6.57117,-134.954
73.0438,-7.39261,-136.768
72.5711,-8.1207,-136.307
70.4276,-3.58086,-135.007
71.9296,-3.52016,-136.311
75.3945,-2.96978,-139.599
75.9924,-5.97631,-140.245
76.6791,-4.49356,-140.875
73.7826,-3.67769,-138.255
76.8868,-2.82909,-140.803
74.709,-11.9761,-138.872
74.965,-12.6616,-139.56
75.5095,-12.6453,-140.207
74.457,-11.0003,-138.255
76.1467,-8.96268,-140.047
75.5469,-8.97773,-139.289
75.0259,-8.82453,-138.678
74.3927,-13.4653,-139.583
76.9421,-11.2324,-141.389
76.1257,-13.3487,-141.687
68.5806,-6.65004,-134.578
68.3285,-5.72327,-134.289
67.6671,-7.99405,-134.613
67.9146,-5.01369,-133.441
67.8701,-5.1145,-132.795
67.2824,-7.2609,-132.007
67.1531,-8.57978,-134.5
68.5048,-4.27849,-134.06
68.0482,-5.02239,-131.926
67.2726,-7.92296,-131.361
69.9165,-2.82677,-134.682
70.2013,-1.38475,-134.572
70.0443,-0.462014,-133.883
68.7042,-2.7986,-132.504
69.255,-1.31429,-132.386
69.6422,-0.455828,-132.169
70.2389,0.152056,-133.708
69.988,0.157052,-132.996
69.08,-2.06187,-131.654
73.1838,2.93213,-119.323
72.9085,2.36936,-122.302
81.8052,4.35474,-144.946
81.7123,5.19757,-144.877
81.4807,6.52551,-145.087
81.4514,7.3615,-146.592
81.0543,7.34835,-145.134
81.5812,3.5992,-144.41
81.4046,5.89501,-144.323
83.0965,-0.0583997,-146.867
82.7111,-8.24733,-147.931
83.8356,-5.42803,-148.14
82.7103,-9.03527,-148.676
87.8978,1.10961,-155.197
87.4721,0.469805,-154.613
87.3853,-0.238776,-154.364
88.2373,1.8817,-155.697
87.013,-1.0201,-153.809
73.0408,14.9282,-156
73.612,13.5834,-156.718
74.3606,13.5728,-157.043
75.1869,13.5097,-157.31
75.9785,14.8378,-157.466
72.8575,13.6138,-156.272
74.0034,12.8219,-156.782
73.1466,12.6951,-156.266
74.7232,12.942,-157.053
75.6752,12.7649,-157.209
76.4863,22.4851,-157.07
75.7873,22.4132,-156.427
75.4809,19.543,-157.09
77.1896,22.4464,-157.61
76.9802,19.4821,-157.893
77.8532,20.9583,-158.164
75.1587,22.5292,-155.706
74.7048,21.692,-155.713
74.7354,19.5529,-156.549
75.0551,18.7842,-156.844
76.5757,18.7429,-157.694
78.3293,21.7349,-158.174
77.8803,22.4973,-157.897
77.8022,19.4592,-158.181
78.3043,20.1953,-158.266
80.3838,17.0327,-157.947
80.3082,15.6637,-157.744
80.445,17.8715,-158.018
82.369,18.5633,-157.13
79.3685,17.1928,-158.153
79.1617,15.6375,-157.938
80.7726,13.9873,-157.061
83.2179,14.8441,-156.192
83.4057,17.8008,-156.457
78.6858,16.4019,-158.046
89.3578,4.91546,-157.24
88.8026,3.47873,-156.55
89.1586,5.68102,-157.072
88.6777,4.9332,-156.623
88.4499,4.22873,-156.385
87.8498,16.8678,-155.228
86.1648,13.9945,-154.948
87.1109,13.8067,-154.85
89.1229,16.1217,-155.567
88.7382,16.8927,-155.44
89.433,15.2127,-155.7
86.3451,17.702,-155.31
86.5486,13.2022,-154.707
87.606,13.0317,-154.737
84.7204,17.0103,-155.792
88.3548,13.1807,-154.95
89.4929,12.3791,-155.472
88.7465,12.4293,-155.014
90.1415,15.3142,-156.29
90.5788,12.982,-156.769
90.1709,12.3617,-156.172
89.8377,16.1427,-156.105
89.6914,11.6237,-155.682
90.9557,14.5942,-157.51
90.4874,11.6243,-156.816
76.3766,3.70395,-139.391
76.7029,4.47565,-139.649
75.045,4.3812,-138.891
77.8841,3.8131,-140.255
78.9533,4.41468,-140.971
78.1983,4.46498,-140.474
79.9396,2.02908,-142.219
78.6247,5.28418,-140.853
77.8469,5.22511,-140.36
78.3808,0.719956,-141.056
80.318,4.37914,-142.225
79.8429,5.14167,-141.739
80.469,2.16576,-142.829
74.0822,11.2208,-132.233
74.6871,14.2262,-132.753
73.8517,9.78397,-134.472
73.7683,9.78903,-132.165
74.2188,10.5183,-135.929
74.8831,14.913,-133.45
75.5278,15.8296,-134.979
75.9342,14.0538,-137.085
76.2956,14.8834,-136.987
76.1,14.9568,-136.283
76.2574,15.7123,-136.199
75.4661,17.1951,-129.69
75.3768,16.4595,-130.353
